English (Question),Your Language (Answer),finished,answer,date,today,flag,prio,dateon,,,
apple,Pomme,0,0,1,0,0,0,1,Sun.,1,
chocolate,Chocolat,0,1,1,0,0,0,0,Mon.,2,
hello,"Bonjour, Salut",0,4,2,0,0,0,0,Tue.,3,
Good afternoon!,Bonne après-midi!,0,0,4,0,0,0,0,Wed.,4,
How do you do?,Comment allez-vous?,0,5,14,0,0,0,,Thu.,5,
How are you?,Comment ça va?,1,6,80,0,0,0,,Fri.,6,
,,,,,,,,,Sat.,7,
,,,,,,,,,,,
,,,,,,,,,Today,0,
,,,,,,,,,,,
,,,,,,,,,0,2,
,,,,,,,,,1,1,
,,,,,,,,,2,0,
,,,,,,,,,3,0,
,,,,,,,,,4,1,
,,,,,,,,,5,1,
,,,,,,,,,6,1,
,,,,,,,,,,,
,,,,,,,,,合計数,6,
,,,,,,,,,n日後,該当数,
,,,,,,,,,0,0,
,,,,,,,,,1,2,
,,,,,,,,,2,1,0
,,,,,,,,,3,0,1
,,,,,,,,,4,1,2
,,,,,,,,,5,0,3
,,,,,,,,,6,0,4
,,,,,,,,,7,0,5
,,,,,,,,,8,0,6
,,,,,,,,,9,0,7
,,,,,,,,,10,0,8
,,,,,,,,,11,0,9
,,,,,,,,,12,0,10
,,,,,,,,,13,0,11
,,,,,,,,,14,1,12
,,,,,,,,,15,0,13
,,,,,,,,,16,0,14
,,,,,,,,,17,0,15
,,,,,,,,,18,0,16
,,,,,,,,,19,0,17
,,,,,,,,,20,0,18
,,,,,,,,,21,0,19
,,,,,,,,,22,0,20
,,,,,,,,,23,0,21
,,,,,,,,,24,0,22
,,,,,,,,,25,0,23
,,,,,,,,,26,0,24
,,,,,,,,,27,0,25
,,,,,,,,,28,0,26
,,,,,,,,,29,0,27
,,,,,,,,,30,0,28
,,,,,,,,,others,1,29
,,,,,,,,,,,30
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
